Orig.Row,Sample,Water Type,PhreeqC (1= yes),pH,TDS (mg/L),Alk. (ueq/L),DICcalc (umol/L),DICexp (umol/L),Cl (umol/l),SO4 (umol/l),F (umol/l),Br (umol/l),Ca (umol/l),Mg (umol/l),Na (umol/l),K (umol/l),Si (umol/l),Al (umol/l),Ba (umol/l),Sr (umol/l),Fe (umol/l),Mn (umol/l),Calcite,± Calcite,Gypsum,± Gypsum,log PCO2,± lgPCO2,Alk* ueq/L,± Alk*,DICcalc* umol/L,± DIC*,DICexp* umol/L,SO4* (umol/l),Ca* (umol/l),Mg* (umol/l),Na* (umol/l),K* (umol/l),SO4* (ueq/l),Ca* (ueq/l),Mg* (ueq/l),Ca*+Mg* (ueq/l),(Ca+Mg-SO4)* (umol/l),(HCO3+SO4)* ueq/L,Na*+K* (umol/l),SumCat* ueq/L,Calcite*,± Calcite*,Gypsum*,± Gypsum*,log PCO2*,± lgPCO2*
306,17G- GL13-18  - r306,5,,,8.81,,,,12.60,21.49856762,0.899621013,,58.30290933,5.8,33.69966285,26.50020334,33.5,,,,,,,,,,,,,,,,,21.50,58.30,5.80,33.70,26.50,43.00,116.61,11.60,128.21,42.60,,60.20,188.41,,,,,,
307,17G- GL13-19  - r307,5,,,8.12,,,,18.40,19.99866755,0.699705232,,50.30251011,5.8,30.09969887,21.50016497,30.9,,,,,,,,,,,,,,,,,20.00,50.30,5.80,30.10,21.50,40.00,100.61,11.60,112.21,36.10,,51.60,163.80,,,,,,
308,17G- GL13-20  - r308,5,,,8.30,,,,14.20,18.59876083,1.999157806,,56.00279455,5.5,32.79967186,26.3002018,30.8,,,,,,,,,,,,,,,,,18.60,56.00,5.50,32.80,26.30,37.20,112.01,11.00,123.01,42.90,,59.10,182.11,,,,,,
309,17G- GL13-21  - r309,5,,,7.40,,,,13.80,16.19892072,0.599747342,,48.90244024,4.7,30.09969887,22.90017571,28.1,,,,,,,,,,,,,,,,,16.20,48.90,4.70,30.10,22.90,32.40,97.80,9.40,107.20,37.40,,53.00,160.20,,,,,,
310,17G- GL13-22  - r310,5,,,6.90,,,,15.00,13.69908728,0.599747342,,45.90229053,4.4,29.79970187,20.200155,27.2,,,,,,,,,,,,,,,,,13.70,45.90,4.40,29.80,20.20,27.40,91.80,8.80,100.60,36.60,,50.00,150.60,,,,,,
311,17G- GL13-23  - r311,5,,,7.43,,,,34.90,12.49916722,0.499789452,,44.90224063,4.4,33.29966686,19.50014962,26,,,,,,,,,,,,,,,,,12.50,44.90,4.40,33.30,19.50,25.00,89.80,8.80,98.60,36.80,,52.80,151.40,,,,,,
312,17G- GL13-24  - r312,5,,,8.46,,,,29.40,14.59902732,0.699705232,,58.10289935,5,30.79969187,23.10017725,32.6,,,,,,,,,,,,,,,,,14.60,58.10,5.00,30.80,23.10,29.20,116.21,10.00,126.21,48.50,,53.90,180.11,,,,,,
313,17G- GL13-25  - r313,5,,,7.27,,,,8.50,14.99900067,,,50.30251011,4.8,28.39971588,23.60018108,30.2,,,,,,,,,,,,,,,,,15.00,50.30,4.80,28.40,23.60,30.00,100.61,9.60,110.21,40.10,,52.00,162.20,,,,,,
314,17G- GL13-26  - r314,5,,,8.58,,,,24.90,17.39884077,0.799663122,,56.10279954,4.9,38.39961583,27.10020794,28.6,,,,,,,,,,,,,,,,,17.40,56.10,4.90,38.40,27.10,34.80,112.21,9.80,122.01,43.60,,65.50,187.51,,,,,,
315,17G- GL13-27  - r315,5,,,8.87,,,,18.60,20.49863424,0.799663122,,59.20295424,5.3,35.09964885,28.30021715,30.4,,,,,,,,,,,,,,,,,20.50,59.20,5.30,35.10,28.30,41.00,118.41,10.60,129.01,44.00,,63.40,192.41,,,,,,
316,17G- GL13-28  - r316,5,,,7.66,,,,8.70,19.09872751,0.699705232,,52.00259494,4.8,30.99968987,23.10017725,28.3,,,,,,,,,,,,,,,,,19.10,52.00,4.80,31.00,23.10,38.20,104.01,9.60,113.61,37.70,,54.10,167.71,,,,,,
317,17G- GL13-29  - r317,5,,,7.58,,,,16.40,16.29891406,0.699705232,,51.30256001,4.7,30.99968987,25.00019183,26.1,,,,,,,,,,,,,,,,,16.30,51.30,4.70,31.00,25.00,32.60,102.61,9.40,112.01,39.70,,56.00,168.01,,,,,,
